iter	Passed	Remaining
0	127	127591
1	129	64704
2	134	44824
3	137	34179
4	139	27731
5	141	23421
6	143	20309
7	147	18338
8	149	16455
9	150	14936
10	152	13724
11	154	12729
12	155	11841
13	157	11074
14	160	10571
15	162	9994
16	163	9470
17	164	9001
18	166	8594
19	167	8219
20	169	7879
21	170	7570
22	173	7371
23	175	7123
24	176	6883
25	177	6666
26	179	6463
27	180	6268
28	181	6087
29	183	5917
30	184	5758
31	186	5631
32	188	5512
33	189	5384
34	190	5260
35	192	5146
36	194	5050
37	195	4945
38	196	4844
39	197	4747
40	199	4655
41	201	4605
42	203	4526
43	204	4447
44	206	4373
45	207	4300
46	208	4229
47	209	4161
48	211	4095
49	212	4034
50	215	4001
51	216	3944
52	217	3887
53	218	3836
54	220	3784
55	221	3733
56	222	3683
57	223	3636
58	225	3591
59	226	3546
60	228	3522
61	230	3483
62	231	3445
63	232	3405
64	235	3385
65	236	3351
66	238	3315
67	239	3280
68	240	3245
69	243	3229
70	244	3200
71	245	3168
72	247	3137
73	248	3107
74	249	3079
75	250	3050
76	252	3021
77	253	2993
78	254	2967
79	255	2941
80	257	2917
81	258	2893
82	259	2862
83	260	2839
84	261	2816
85	262	2793
86	264	2771
87	265	2750
88	266	2728
89	267	2707
90	270	2697
91	271	2679
92	272	2659
93	273	2639
94	275	2622
95	276	2603
96	277	2584
97	278	2566
98	280	2548
99	281	2531
100	282	2514
101	285	2510
102	286	2496
103	287	2479
104	289	2463
105	290	2448
106	291	2432
107	292	2417
108	293	2402
109	295	2387
110	296	2375
111	298	2369
112	300	2357
113	301	2345
114	303	2332
115	304	2319
116	305	2305
117	307	2296
118	308	2283
119	309	2271
120	310	2258
121	311	2244
122	314	2242
123	316	2233
124	318	2226
125	319	2215
126	320	2202
127	321	2191
128	323	2181
129	324	2170
130	325	2159
131	328	2158
132	329	2149
133	331	2141
134	332	2131
135	333	2121
136	335	2112
137	336	2102
138	337	2091
139	339	2083
140	340	2073
141	342	2068
142	344	2061
143	345	2052
144	346	2043
145	348	2035
146	349	2028
147	350	2019
148	352	2010
149	353	2002
150	354	1993
151	359	2002
152	360	1998
153	362	1991
154	365	1990
155	367	1985
156	372	1999
157	374	1993
158	375	1986
159	376	1978
160	377	1968
161	379	1960
162	380	1952
163	381	1944
164	382	1936
165	385	1937
166	387	1931
167	388	1923
168	389	1916
169	391	1909
170	392	1901
171	393	1894
172	394	1887
173	396	1879
174	397	1872
175	400	1874
176	401	1867
177	403	1861
178	404	1854
179	405	1848
180	407	1844
181	408	1837
182	410	1831
183	411	1825
184	415	1830
185	416	1823
186	417	1817
187	419	1810
188	420	1804
189	421	1798
190	423	1792
191	424	1785
192	425	1779
193	428	1778
194	429	1773
195	430	1767
196	432	1760
197	433	1754
198	434	1749
199	436	1744
200	437	1738
201	438	1732
202	439	1726
203	440	1720
204	442	1717
205	444	1712
206	445	1706
207	446	1701
208	448	1695
209	449	1689
210	450	1684
211	451	1678
212	452	1673
213	454	1668
214	456	1668
215	458	1663
216	459	1658
217	460	1653
218	462	1647
219	463	1642
220	464	1637
221	465	1631
222	466	1626
223	468	1621
224	470	1621
225	472	1618
226	474	1614
227	475	1610
228	477	1607
229	479	1603
230	480	1600
231	482	1597
232	486	1601
233	487	1597
234	489	1592
235	490	1587
236	491	1583
237	493	1579
238	494	1574
239	496	1570
240	497	1566
241	501	1570
242	502	1566
243	504	1562
244	505	1557
245	507	1554
246	508	1550
247	509	1546
248	511	1541
249	512	1537
250	515	1537
251	516	1533
252	518	1529
253	519	1525
254	520	1521
255	522	1517
256	523	1514
257	525	1510
258	530	1517
259	532	1515
260	534	1512
261	535	1508
262	536	1504
263	538	1500
264	539	1496
265	540	1492
266	542	1488
267	545	1488
268	546	1485
269	547	1481
270	549	1477
271	550	1473
272	551	1469
273	552	1465
274	554	1461
275	555	1456
276	558	1458
277	560	1455
278	561	1451
279	562	1447
280	564	1444
281	565	1440
282	566	1436
283	567	1431
284	569	1427
285	570	1423
286	574	1426
287	575	1423
288	577	1419
289	578	1416
290	579	1413
291	581	1409
292	582	1405
293	583	1401
294	585	1398
295	587	1397
296	589	1394
297	590	1392
298	592	1388
299	593	1385
300	595	1381
301	596	1378
302	597	1374
303	601	1376
304	603	1376
305	605	1372
306	606	1368
307	607	1365
308	609	1362
309	610	1358
310	611	1354
311	612	1351
312	615	1350
313	616	1347
314	618	1343
315	619	1340
316	620	1337
317	622	1334
318	623	1330
319	624	1327
320	625	1323
321	629	1325
322	630	1322
323	632	1319
324	633	1316
325	635	1313
326	636	1310
327	637	1306
328	639	1303
329	640	1300
330	644	1302
331	645	1299
332	647	1296
333	648	1293
334	649	1289
335	650	1286
336	652	1283
337	653	1279
338	654	1276
339	657	1276
340	658	1273
341	660	1270
342	661	1266
343	662	1263
344	664	1260
345	665	1257
346	666	1254
347	667	1251
348	669	1248
349	672	1248
350	673	1245
351	674	1242
352	676	1239
353	677	1236
354	678	1232
355	679	1229
356	681	1226
357	682	1223
358	683	1220
359	687	1221
360	688	1218
361	689	1215
362	690	1212
363	692	1210
364	693	1207
365	695	1204
366	696	1201
367	698	1198
368	701	1199
369	702	1196
370	704	1193
371	705	1190
372	706	1187
373	708	1185
374	709	1182
375	710	1179
376	711	1175
377	712	1173
378	715	1172
379	716	1169
380	718	1167
381	719	1164
382	721	1161
383	722	1158
384	723	1155
385	724	1152
386	726	1150
387	727	1147
388	731	1148
389	732	1145
390	733	1142
391	735	1140
392	736	1138
393	738	1136
394	740	1133
395	741	1131
396	745	1131
397	746	1129
398	747	1126
399	749	1124
400	750	1121
401	752	1118
402	753	1116
403	754	1113
404	755	1110
405	758	1109
406	759	1106
407	761	1104
408	762	1102
409	764	1099
410	765	1096
411	766	1094
412	767	1091
413	769	1088
414	770	1085
415	774	1086
416	775	1084
417	776	1081
418	778	1078
419	779	1076
420	780	1073
421	782	1071
422	783	1068
423	784	1066
424	786	1064
425	788	1062
426	789	1059
427	791	1057
428	793	1055
429	794	1052
430	795	1050
431	796	1047
432	797	1044
433	799	1042
434	801	1041
435	803	1039
436	804	1036
437	806	1034
438	807	1031
439	808	1029
440	809	1026
441	810	1023
442	812	1021
443	813	1018
444	814	1015
445	817	1015
446	818	1013
447	820	1010
448	821	1007
449	822	1005
450	823	1002
451	824	1000
452	826	997
453	827	995
454	828	992
455	831	992
456	833	989
457	834	987
458	836	985
459	837	983
460	839	981
461	840	978
462	841	976
463	842	973
464	845	973
465	847	970
466	848	968
467	849	965
468	851	963
469	852	961
470	853	958
471	854	956
472	856	954
473	857	951
474	860	950
475	861	948
476	863	946
477	864	943
478	865	941
479	867	939
480	868	937
481	869	934
482	870	932
483	872	929
484	875	929
485	876	926
486	877	924
487	878	922
488	880	919
489	881	917
490	882	915
491	884	912
492	885	910
493	886	908
494	889	907
495	890	905
496	892	902
497	893	900
498	894	898
499	895	895
500	896	893
501	898	891
502	899	888
503	900	886
504	902	885
505	904	882
506	905	880
507	906	878
508	908	876
509	909	874
510	911	871
511	912	869
512	913	867
513	914	865
514	916	863
515	918	861
516	919	859
517	920	856
518	922	854
519	923	852
520	924	850
521	925	847
522	927	845
523	928	843
524	929	841
525	932	840
526	933	837
527	934	835
528	936	833
529	937	831
530	938	828
531	939	826
532	941	824
533	942	822
534	943	820
535	946	819
536	948	817
537	949	815
538	950	813
539	952	811
540	953	809
541	955	807
542	956	805
543	957	802
544	960	801
545	962	799
546	963	797
547	964	795
548	965	793
549	967	791
550	969	789
551	970	787
552	972	785
553	974	784
554	977	783
555	979	782
556	983	782
557	985	780
558	986	778
559	989	777
560	992	776
561	996	776
